GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LOC100506083,0.05638,-0.03005,0.5269,-0.2812047,-1.4392013,0.68016,0.3105,-0.40314,0.26461198,-0.303525,0.90527627,1,0.16838166,1,1,0.07663,0.36428359,0,1,1
LOC100506085,0.05884,0,0.12531,0,0,0.10599,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506100,-0.26082,0.16444,-0.85533,-0.994438,-1.6853348,-1.08677,-0.5314,-0.19839,-1.1555355,-0.8634246,0.39766666,0.86235856,0.00040543,0.19575462,0.01680361,0.00343397,0.01098686,0.69550758,9.06E-05,0.00091286
LOC100506122,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
LOC100506123,0.10682,-0.18335,-0.2288,0.16982579,0.10129559,0.17439,0.16703,0.45648,-0.1141141,0.31570182,0.61010383,0.84989007,0.3718845,0.73444562,0.85417065,0.73105501,1,0,0.79288174,0.41952583
LOC100506124,0.52339,0.02177,0.38014,0.14534027,-0.1113618,0.17442,0.09736,0.45441,0.28781162,0.4641946,0.11487521,1,0.31594922,1,1,0,0.83665992,0,1,1
LOC100506134,0.03512,0.05121,-0.134,0,0,0,0,0,-0.2298476,-0.2332527,1,1,1,1,1,0,1,0,1,1
LOC100506136,0.28342,-0.47298,-0.10964,0.02146813,0.23850969,-0.03307,-0.34477,0.31543,0.83667517,1.28745938,1,1,1,1,1,0,1,0,1,1
LOC100506172,0,0,0,0,0,0,0,0,0.36188165,0,1,1,1,1,1,0,1,0,1,1
LOC100506178,-0.19129,0,-0.14734,0,0.14137161,1.20804,0.46669,-0.02925,0,0,0.59109662,1,0.71737789,1,1,1.81E-13,1,0,1,1
LOC100506190,-0.14553,-0.46007,0.13671,-0.9954493,-0.8508402,0.54159,0.26939,0.23984,-0.38445,-0.4384271,0.35647332,0.5068564,0.32216427,0.13642093,0.18956478,0.02869912,0.04997415,0.60508432,0.0555948,0.01834392
LOC100506195,0,0,0.29784,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
