GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LIFR,0.35523,0.40986,-0.11194,1.63103255,1.6546333,2.10385,0.92537,-0.11358,-0.0373686,-0.8161396,0.13335292,0.46478604,1,0.00813332,0.00346687,2.17E-20,2.77E-07,0.72010218,0.77240385,7.30E-08
IL10RA,-0.05839,-0.15793,0.25736,1.01761737,2.53086998,2.49321,-0.36093,0.2158,1.6472838,1.07313253,1,1,1,1,1,2.30E-09,1,0,1,1
SPRY2,0.34202,0.18187,0.64821,0.8953227,0.63414323,2.17948,-0.08336,0.39467,1.66221374,1.79028588,0.00056819,0.80610639,2.84E-09,0.22901525,0.41951976,2.66E-34,0.65281286,0.21555061,3.65E-20,1.47E-30
CTH,-0.14131,0.22481,-0.16771,0.05359259,0.90864175,2.44908,0.17512,0.60105,-1.4721494,-0.7344877,0.57853409,0.80636571,0.46716238,0.90899809,0.01044071,5.24E-77,0.37354663,0.23544059,1,0.06506742
DUOX1,-0.04758,-0.35377,0.01642,0,0.19300023,2.6554,0,0,0.49401417,0.59334415,0.92247018,1,0.97483592,1,1,2.72E-13,1,0,1,1
ANKRD1,0.38796,1.1461,1.59221,-0.4373056,-0.6421128,3.36255,1.50714,-1.27245,0.40315892,0.48842236,0.09048121,0.03924991,4.14E-18,0.3549398,0.15727971,1.59E-68,1.15E-10,1.76E-08,0.00612943,0.00043079
EDN2,-0.33898,-0.04748,0.81086,-1.3468673,-1.7428838,3.25782,0.22512,-1.52798,0.45847804,1.00748532,1,1,1,1,1,1.90E-38,0.5458474,0.00078559,0.09161785,0.0002383
PCK1,0,0,0,-0.2061451,-1.4992907,3.41838,0.06315,1.04444,2.6898273,2.23713148,1,1,1,1,1,0,1,0,3.51E-14,1.69E-11
SERPINB2,0.46037,0,0.20166,0,0.44431404,2.28935,0.39922,0,-0.1479817,0.79674646,0.019832,1,0.38230565,1,1,4.28E-47,1,0,1,1
IRS2,0.12944,-0.90411,0.06789,-0.2747164,-0.6445527,2.19227,-0.38046,0.74189,0.99614466,0.66262167,0.37185401,0.06013643,0.6490548,0.35722785,0.00558753,1.20E-38,0.00980549,4.54E-07,2.75E-20,2.63E-07
SPOCK2,-0.09698,0.16763,2.64518,-0.7344867,-0.4972985,-0.43444,-0.66013,0.72412,2.35808946,2.32952821,1,0.86710648,1.15E-11,0.34635744,1,0.00035967,0.03142917,0.1294942,7.58E-19,2.85E-16
TNFSF14,-0.0365,0.52759,0.53609,0.92004095,2.89441278,2.25519,-0.48758,1.70575,0.7723645,0.13872964,1,1,1,1,3.88E-09,1.05E-08,1,0,0.07291506,0.76085143
MAP3K8,-0.45202,-0.211,-0.01548,0.98798745,1.10666752,2.77137,-0.21808,1.95633,1.51790124,1.31434416,0.11726739,0.75548698,0.96618651,0.13199094,0.06647797,5.98E-91,1,5.09E-86,2.88E-64,1.42E-59
ZFP36,0.00052,-0.58575,0.25663,0.72421302,1.51996362,2.89768,0.12958,2.93298,3.4415104,3.38826974,0.99625523,1,0.00026092,0.27618641,0.00775133,3.04E-109,1,0,5.98E-224,4.78E-157
NFIL3,-0.07332,0.52403,0.27905,1.07696796,1.20419697,0.85033,1.09567,2.36629,4.21815665,3.89572452,0.51904231,0.36662777,0.00493725,0.03439745,0.00041105,5.95E-12,3.25E-15,0,7.75E-267,0
JUNB,-0.12925,-0.46169,0.11281,-0.4000663,0.088723,1.37858,0.41838,3.44354,3.52043723,3.31109911,0.25522432,0.48107526,0.41643229,0.36739104,0.78612193,1.59E-16,5.16E-09,1.67E-206,1,1
LTB,-0.30538,0.27437,-0.32355,-1.461512,-2.2705653,3.32494,1.19544,4.5765,3.05664275,3.24206844,1,1,1,0.06220899,0.00132969,3.72E-41,3.43E-11,3.31E-22,6.17E-19,3.81E-24
FGG,-0.0365,0.30995,0.03433,-0.2049663,-1.8460267,0.83203,0.01969,2.17251,0.00792927,-3.5533763,1,0.73737076,1,0.70450047,4.59E-09,0,1,1.11E-54,1,2.87E-33
OXTR,0.42288,0.07039,-0.12154,1.03457921,1.87849889,1.05265,1.03261,-2.23128,-0.4799835,-0.1436239,1,0.92645968,1,0.00275487,2.45E-11,1.87E-05,1.37E-09,0,0.00138744,0.31921769
TIMP2,-0.09477,0.25016,-0.48913,0.14309834,0.81619517,0.08952,0.54368,-2.25846,-0.9922155,-1.7776786,0.04473145,0.60237981,1.42E-08,0.51385931,4.63E-07,0.26823956,2.43E-11,4.34E-43,4.33E-25,5.61E-72
SOX2,0.05726,-0.87894,0,-0.2816525,-0.9829517,0.73286,-2.24664,1.19718,1.56610787,1.71720032,1,0.22214511,1,0.66085331,1,0,4.03E-11,0.00113291,6.86E-06,1.43E-07
FASN,0.02073,-0.29197,0.25882,-0.6932075,0.10542825,-1.51756,-2.25441,-0.78475,-1.3803775,-1.1881859,0.88828564,1,0.00054648,0.10487683,0.63674032,1.34E-22,0,1.03E-07,4.41E-32,4.99E-15
KRT8,-0.25599,-0.19131,-0.62398,-1.2611831,-1.2123622,-1.05693,-2.22285,-0.08886,-1.5097669,-1.9346748,0.22897497,0.72270313,0.00040895,1,1,2.10E-16,4.62E-260,0.26524702,1,1.32E-90
PADI2,0.05656,0.11671,0,-1.321118,-2.2378799,0.72723,0.13005,-0.54744,-1.0451881,0.19891056,1,0.89003722,1,0.00062504,2.50E-08,0.04212044,1,0,0.00559324,0.59060082
RTN4RL1,0.16822,-0.57146,0.30422,-0.9622695,-2.0732849,-0.20286,-1.30855,-0.33777,-1.5013399,-0.9683924,1,0.47705945,1,0.07357219,7.12E-05,0,1.52E-08,0.37540715,8.65E-05,0.01384648
KCNJ11,0.05884,-0.63268,0.12516,-1.2259101,-2.3380246,-0.16802,0.01407,-0.10683,0.11374936,0.5035554,1,1,1,0.05605219,9.38E-07,0.58201842,0.95686178,0.87027535,1,0.19833768
IL17RB,-0.13139,0.45204,-0.22528,-1.0103255,-3.0305706,-1.75002,-1.50578,-0.1566,-1.3792795,-0.8877226,0.7221332,0.5764953,0.4926801,0.03177615,2.40E-08,7.30E-33,1.19E-08,0,0.00050907,0.00719591
IFI16,0.38465,0.49394,-0.49158,4.68938337,4.6006668,3.09168,1.28768,0.51611,3.25353604,-0.3266645,1,0.55048031,1,2.95E-33,9.60E-50,3.55E-108,3.33E-07,0.25582646,1,0.24932511
NLRP3,-0.11689,0,0.53499,0.20261628,0.93603489,3.46907,0.48319,0,1.2700651,0.16126215,1,1,1,1,1,9.38E-19,1,0,1,1
IFIH1,0.04253,0.25825,0.02521,5.39309794,4.82734246,3.98547,1.17172,0.72375,4.84450197,0.83003153,0.8997118,0.78182471,0.93265952,2.10E-44,1.64E-51,6.10E-267,1.28E-16,0,1,0.00243564
DDX60,0.52878,-0.07604,-0.30086,3.98010756,3.56491216,2.9216,1.49512,0.86128,3.63220071,0.76782076,0.03249975,0.93148256,1,5.34E-16,9.56E-13,1.47E-61,8.93E-24,0.11173032,2.97E-68,0.0051499
HERC5,0.02512,0.59598,0.11908,4.94828307,4.2972706,3.31849,0.13441,0.24095,3.79949334,0.14263886,1,0.22356952,1,5.55E-82,5.60E-108,1.60E-119,0.23563452,0.65387855,1.17E-97,0.56484774
DDX58,0.03475,0.55225,-0.11802,4.7703322,4.16266008,2.75091,0.75522,-0.37828,4.14203415,1.26094622,0.84825989,0.28090888,0.55381314,5.46E-51,6.97E-48,7.30E-93,7.48E-12,0.04747401,6.03E-212,1.17E-27
DHX58,-0.1075,1.64849,0.28981,4.05219912,3.86548086,2.83898,0.20871,0.34917,2.84326775,0.98375255,0.7227035,0.00499061,0.19790541,5.60E-20,1.62E-15,3.52E-131,1,0,1.21E-08,1
PARP9,0.02766,0.3688,-0.02227,3.406723,2.93039233,2.41131,0.35965,0.54091,2.71737323,-0.5055906,0.85939526,0.4652701,0.87739095,5.50E-20,4.66E-19,1.01E-75,5.48E-05,0.07165248,1.99E-116,0.04167315
DTX3L,0.14068,0.16651,-0.16127,2.79592008,2.65914624,2.52741,0.88758,0.27263,1.9220291,-0.7401657,0.29395494,0.73649318,0.21938819,2.21E-15,2.13E-14,1.38E-120,1.71E-36,0.20575716,1,2.15E-08
IFIT5,0.41543,0.30646,-0.28565,2.50437174,1.89266602,2.80386,0.40013,0.3982,2.10288893,0.79723376,0.07353116,0.62927258,0.25273818,7.89E-26,1.43E-28,3.34E-82,6.73E-05,0.12477239,3.82E-87,1.03E-11
NLRC5,0.09477,-0.86536,0.49051,2.72286421,3.65376338,3.79582,-0.34188,0.03731,3.21254376,-0.4790059,0.65344342,0.18132436,0.0001607,2.52E-19,1.19E-67,6.42E-84,0.03951594,0.94296238,5.74E-65,0.15734755
ZC3HAV1,0.31793,0.40217,0.03889,1.83645538,2.01212928,2.4096,-0.29804,-0.20939,1.10049898,0.18764672,0.00110941,0.41959612,0.76501011,2.25E-15,2.18E-23,3.38E-134,0.01900989,0.08011784,1.10E-18,0.00855745
APOBEC3G,-0.33022,0,-0.34104,1.79080147,1.15936436,2.0873,0.07802,-0.02925,-0.1957531,0.20438688,0.09685509,1,0.04083942,1,1,1.81E-57,1,0,1,1
PTX3,-0.24385,0.19027,-0.25162,2.17008213,2.32667589,3.49439,3.28791,2.08641,3.27183429,2.80382474,1,1,1,5.93E-05,7.50E-06,3.72E-85,2.09E-32,0,7.36E-60,5.55E-26
NLRP1,0.18424,-0.31703,0.23112,-0.2701619,0.85386204,3.73567,1.67836,-0.67822,-0.5910373,-0.7457341,0.0417138,1,0.03733602,1,1,5.77E-17,6.58E-05,0,1,1
TLR6,0.20694,-0.39947,-0.3689,0.3629807,0.56388707,2.25157,0.39678,-0.0998,-0.4330533,0.01974775,0.35840624,0.42209328,0.183383,0.63865763,0.50015927,2.54E-09,0.0003348,0.67004235,0.01153651,0.9098208
C3,-0.45519,0.52995,0.92995,0.60747449,2.55939453,1.28391,1.29834,1.89288,0.59281148,-0.319082,0.21188223,0.27752147,0.00287213,0.08678045,2.73E-25,3.47E-42,8.32E-44,2.78E-81,6.19E-08,0.00288875
C5,0.63747,0.23129,-0.13119,0.33012153,-2.4386255,-1.25581,-0.20878,0.77533,-2.064936,-2.5003495,0.00180936,0.62163796,0.6479288,0.51566023,4.97E-12,2.64E-06,0.00779626,4.95E-11,3.44E-58,7.35E-169
RAET1L,0,0.05121,0,4.46998547,4.11703531,2.45122,0.90844,-0.09136,1.54655107,0.69095963,1,1,1,2.40E-16,1.93E-11,8.78E-19,1,0,1,1
APOL1,-0.4292,-0.45136,-0.66752,3.629135,4.12737793,0.62587,1.32308,0.60053,0.89317546,-1.7851056,0.145314,0.48107526,0.02124568,2.31E-49,1.72E-52,7.96E-08,1,0.00485865,1,9.45E-46
SERPING1,-0.36006,0.05844,-0.54434,4.00861914,3.50748446,0.42614,0.62148,-0.04114,2.93152228,-0.791395,0.05354431,1,0.00175052,5.34E-16,1.78E-10,0.00010619,0.15310139,0,6.66E-08,1
PARP14,0.25461,0.14286,-0.29245,3.11012556,2.7945266,2.93627,0.81871,-0.06084,2.42893552,-0.3021256,0.14927213,0.83061372,0.11822443,4.88E-18,1.59E-16,1.00E-129,2.63E-30,0.8146765,1,0.07048366
ZBP1,0,-0.05406,0.29759,2.70245583,1.67403239,5.8186,-0.12712,0,2.37424611,0.49584671,1,1,1,1,1,1.64E-128,1,0,1,1
TRIM14,-0.04062,-0.11537,-0.02437,2.07451131,1.72680781,1.93646,0.08686,-0.56031,1.8804133,-0.4037916,0.73760202,0.84489787,0.8918231,2.07E-26,5.09E-20,4.07E-40,0.41839385,0.01751494,2.51E-36,0.03999897
C1R,-0.56302,-0.25039,-0.47037,1.37287982,1.70164544,2.1288,1.54381,2.21602,1.12991987,-1.1361085,2.05E-08,0.67838652,1.29E-05,1.06E-05,3.92E-07,4.36E-37,2.01E-94,2.23E-35,1,2.78E-17
CFB,-0.45844,-0.13714,-0.36182,2.07599634,2.62954226,0.81879,2.12274,1.87344,1.07007227,-1.1754182,0.10583852,0.89324454,0.18718694,1.61E-10,7.64E-17,1.91E-31,5.36E-95,1.30E-09,1,5.18E-15
C1S,-0.45257,-0.01146,-0.78291,1.77461743,2.29068952,1.69805,1.57847,1.54545,0.24916053,-1.7447792,4.30E-07,0.98554717,3.99E-16,3.37E-09,5.99E-20,1.29E-34,1.99E-284,6.61E-25,0.0814774,9.99E-62
NCF2,0.12838,0.00949,0.71972,1.60863705,2.38648768,1.52453,1.36749,-0.05665,0.84019501,0.59193226,0.67893669,1,0.00549144,1.46E-05,6.31E-15,4.89E-18,3.14E-12,0,0.00639371,0.06191605
RAET1E,-0.12511,0.62371,0.00957,1.70836386,2.00989089,0.71736,1.44081,-0.72321,0.77317562,-0.7514836,1,0.42478073,1,3.72E-05,5.61E-07,0,3.13E-12,0,1,1
ULBP2,0.20989,0.69894,-0.09377,1.73191337,3.30419905,0.27785,0.99234,0.25591,0.46031781,-0.4898919,0.19072407,0.34228413,0.6133175,1.06E-05,5.70E-23,0.05645433,3.46E-07,0,0.06011314,0.10275086
CD55,-0.16702,0.42651,-0.13112,1.84179159,2.84260681,1.00162,1.60558,0.29046,1.48087011,0.74007881,0.24550888,0.49655453,0.42504401,4.89E-09,4.81E-44,7.39E-27,2.52E-118,0.14327882,1.78E-70,5.30E-19
ARG2,0.09829,0.3111,-0.12451,0.78142548,2.08399326,-0.22047,0.44424,0.5856,0.64716777,0.45872267,0.64969349,0.68044068,0.54440391,0.23039684,1.50E-05,0.08226276,0.07930311,0,0.00097382,0.01974912
MICB,0.10981,0.35484,0.4941,0.65578955,2.55581752,-0.55208,-0.7253,-0.45694,-0.4633828,-0.4607193,0.39707724,0.58333194,8.70E-07,0.23473888,5.62E-10,4.57E-11,2.39E-07,0.0048889,0.00011803,0.00022702
TREM1,-0.1547,0,-0.27277,0.01726375,3.23897457,0.53261,2.53196,0,0.82857035,-0.7570751,1,1,1,1,1,0.04166568,2.46E-08,0,1,1
ULBP1,0.15341,0.77655,-0.17136,1.14032183,0.66045067,2.98715,3.17653,-0.53477,-0.7032928,-0.1131132,0.59649849,0.22499817,0.55781889,0.00811621,0.2734132,4.09E-43,4.78E-69,0,0.00735028,0.71594325
CLEC4E,0.05884,0,0,-0.1813822,1.0990594,2.61555,2.5742,1.18108,2.32717404,1.04608313,1,1,1,0.7722868,0.03564125,5.42E-09,6.38E-49,0,1.16E-29,0.00016024
PGLYRP2,0,0,0.12531,-0.6796664,-0.3426411,3.12689,0.91173,0.51314,0.51019354,0.10271805,1,1,1,1,1,3.13E-11,1,0,1,1
STYK1,0.32436,-0.01598,3.01059,0.12927068,1.1599518,0.75311,0.14078,0.12941,1.02310762,0.73110934,0.38446514,1,2.43E-36,1,1,7.57E-07,0.76040314,0,0.00648704,0.06636575
NCF1,-0.082,0.47968,3.29478,0.14704046,0,0.65558,0.25126,0.65352,1.2509074,1.48391348,1,1,3.08E-20,1,1,0,1,0,1,1
PRDM1,0.57546,0.13235,0.70028,1.13376828,1.16379069,3.25232,0.88784,1.38546,1.97166903,1.75508378,0.00291208,0.88292831,4.09E-06,0.04508779,0.01908417,9.13E-34,8.17E-11,7.09E-06,4.51E-44,9.05E-36
CD300LB,0,-0.04191,0.19832,0,0,0,0,2.61906,2.23518177,2.0300227,1,1,1,1,1,0,1,2.09E-06,1,1
FGA,0.01909,-0.17649,0.03897,-0.3417061,-0.6011522,0.156,-0.33633,2.31214,0.47820693,-1.8039988,1,0.80412908,1,0.54333155,0.17082815,0,1,1.03E-72,0.00606902,2.03E-18
HIST2H2BE,-0.19358,0.27298,-0.5595,0.65817355,0.63556766,0.18593,-0.48925,3.32951,4.05172705,4.20824154,0.44412366,0.74619728,0.0073787,0.2581054,0.1449221,0.43975046,0.00233564,0,0,0
IFI44,0.24419,0.19025,-0.28125,6.36365778,6.49275968,2.98002,1.22017,0.63133,5.74265837,1.33435227,0.33538726,1,0.33414334,2.46E-44,4.95E-44,7.48E-102,1,0,5.61E-68,1
IFI44L,-0.02153,-0.33881,-0.26536,5.30882662,4.83161615,4.01439,0.52675,0,4.87829159,0.27417577,0.96602448,1,0.58692692,5.98E-25,5.60E-17,8.17E-191,1,0,1,1
PMAIP1,0.41093,1.39346,-0.18919,3.1386234,3.06410975,2.55661,1.44129,1.41471,1.68979606,1.5073529,1,0.00087984,1,1.58E-15,2.59E-15,5.10E-78,1.23E-39,2.45E-19,3.52E-40,1.12E-29
RTP4,-0.19772,0,-0.00255,3.07873887,2.4148366,3.40023,0.07802,0,2.26601306,0.26804011,1,1,1,2.37E-06,1,2.00E-134,1,0,1,1
DCLK1,0.31583,0.5083,-0.22826,2.65545851,3.81560265,-0.19428,0.80352,-1.09646,1.03414352,1.49552006,1,1,1,2.13E-08,3.04E-20,0,0.04482403,0.00940946,1,0.00032506
CYP1A1,-0.08666,-0.3309,0.79853,0.02418986,0.12852298,5.89423,1.76853,1.03126,4.38029209,5.0206887,1,1,1,1,1,2.92E-252,1.25E-05,0,1,1
BCL3,-0.35781,-0.19177,0.20407,-0.6988756,-0.0536601,1.98246,-0.19992,2.80835,2.56712089,2.75857183,5.02E-05,0.81105622,0.00444608,0.22796498,0.9397201,7.23E-21,0.14173383,1.09E-54,1.15E-117,5.35E-80
IDO1,0,0.05121,0,6.07510133,4.66204015,4.0615,0.1257,0,2.95229093,0.48707055,1,1,1,6.29E-39,2.21E-18,6.37E-139,1,0,8.06E-08,1
TNFAIP3,0.06943,0.66019,2.27222,1.66525125,2.31174648,5.22011,1.65568,3.35852,5.16498198,4.78449982,0.74170548,0.20653094,8.30E-123,0.02522213,0.00055062,1.14E-276,3.42E-83,6.67E-131,0,0
APOL3,-0.29112,0.14159,-0.39444,4.4531421,3.81942925,2.79914,0.71428,0.44103,2.04076911,0.10561108,0.31030797,1,0.18388193,1.48E-17,1.13E-10,3.19E-43,1,0,1,1
THEMIS2,-0.40889,-0.27587,-0.29782,3.12814114,3.65229343,2.4875,0.72734,-0.23077,5.10644454,0.29156055,0.04170624,1,0.12128895,4.68E-16,2.35E-17,4.75E-54,0.05309586,0,1.95E-33,1
RASGRP1,0.01391,0.3806,0.11459,1.32197745,1.40275403,2.01514,1.16847,1.41168,1.80975877,1.57837116,1,0.65991807,1,0.00119375,0.00022942,4.10E-41,2.96E-09,0.00087852,2.70E-12,1.21E-09
BMP2,-0.10547,0.25981,-0.21252,0.71040803,2.10864302,2.18956,0.77268,0.83185,2.01394832,1.4244558,0.73972568,1,0.45393727,0.17519332,4.03E-09,3.26E-52,0.0003206,0.02703329,1.04E-29,7.51E-13
SAA2,0,0.12364,0,1.76192503,2.8273311,1.80839,1.49475,2.64178,1.44239279,0.08301551,1,1,1,1,2.29E-07,6.90E-14,0.00053685,0,2.00E-06,0.84528259
PLA2G4C,-0.24628,0.51984,0.70038,1.36813942,1.96262964,2.18797,1.78553,-0.24897,1.50200274,1.29980703,0.54123805,0.46364465,0.05478356,0.00063919,1.35E-08,4.74E-16,1.25E-17,0.34429022,6.70E-16,4.26E-13
SEMA7A,0.51507,0.27845,0.56615,0.89182326,1.63946469,2.29178,1.67553,-0.2524,2.03142778,1.44163213,0.00030265,1,0.00034735,1,0.00540338,2.33E-65,2.84E-09,0,3.42E-08,6.86E-07
TNIP3,-0.00879,0.05844,0.30698,1.46519263,3.68048061,1.16998,1.48904,-0.14345,-0.4322354,-0.6434283,1,1,1,1,2.09E-11,0,0.00056544,0,1,1
HRH1,-0.14438,0.01447,0.07705,1.12039031,2.80074763,1.31492,1.27841,0.8931,0.63538245,0.12593109,0.23883111,0.98753205,0.6132112,0.00057086,4.73E-29,3.02E-10,6.82E-18,0.00951404,0.00099215,0.5468302
OLR1,-0.16329,0,-0.70291,1.38064442,1.96344489,1.24801,2.19749,0.74163,0.64462733,-0.4739918,1,1,1,0.03710202,7.98E-05,0,1.09E-21,0,0.03633305,0.20009905
EMR2,-0.00003,0.15045,0.23933,0.76452197,2.13312844,0.25337,1.48591,0.10046,0.80558603,0.06218748,1,1,1,0.24214515,3.31E-06,0,9.15E-10,0,1,1
CHST2,-0.07559,-0.28903,0.05502,0.36162743,2.76469941,0.38281,0.56375,1.92283,2.22840265,1.99589811,0.77342866,1,0.84402559,1,9.86E-10,0.43844518,0.08953186,6.66E-06,4.32E-17,6.76E-12
APOL2,-0.12327,-0.15528,-0.30734,1.54967745,2.16316613,1.06968,0.29717,-0.03791,1.13646935,-0.6106785,0.39766666,0.81960389,0.00498509,0.00149865,1.63E-06,4.81E-22,1,0.82682941,3.09E-16,5.78E-06
BDKRB2,-0.73221,-0.91896,-0.58038,0.01524701,-0.1305567,2.53059,0.10883,1.02834,2.07221625,2.11141159,2.35E-07,0.01401658,8.45E-05,0.97597239,0.80944086,4.26E-17,0.27453442,0,9.32E-72,7.94E-39
SAA4,0,0,0,0,0.44431404,2.16816,0.46213,-0.02925,-0.0923763,0.10876452,1,1,1,1,1,6.61E-09,1,0,1,1
FFAR2,0.09084,-0.06913,0,0.47830631,0.6302072,2.17283,0.03768,-0.22355,0.276432,-0.5334735,1,1,1,1,1,7.30E-06,1,0,1,1
AOC3,0.16076,0.15681,2.85902,-0.117995,0.3195372,0.76005,-1.0198,1.87234,2.56762218,2.86101659,1,0.87670264,6.07E-24,0.85754065,0.56621571,0.00320601,0.00012869,9.67E-08,2.54E-22,6.26E-29
CYP26B1,-0.32363,-0.16813,2.45125,0.12916196,0.26951125,0.08508,-0.04785,0.43122,2.26422514,1.87083646,1,0.80231322,1.66E-17,0.86799628,0.74727076,0.86990118,0.64467103,0.00762098,1,1
SERPINC1,0.2161,-0.04191,2.65465,-0.2337742,0.07602366,0.03446,-0.95631,0.19546,2.85528791,2.76707926,1,1,3.83E-13,1,1,0,1,0,1.04E-09,2.25E-09
SERPINF2,0.29696,-0.2993,1.96088,-1.7833597,-2.2454117,0.40115,-0.72003,-0.23582,-0.7788061,0.33152027,1,0.71790293,1,0.01222008,0.00065965,0.31799868,0.00067451,0.58538619,1,1
NFKBIZ,0.04984,0.3532,0.48812,1.16468902,2.14145073,1.98666,0.47079,3.38469,4.01642931,3.90061685,0.80885525,0.60303731,2.50E-05,0.13712357,0.00188671,5.51E-34,5.79E-06,6.45E-62,0,0
KDM6B,-0.04388,-0.352,0.75345,0.72593369,1.67577214,1.7067,0.86143,2.89239,3.54644346,3.65282081,0.77165919,0.5645357,2.62E-17,0.0138574,1.19E-16,4.78E-45,2.76E-25,1.15E-64,1.69E-267,3.30E-194
HDAC9,0.52444,-0.11801,1.67478,0.62379929,1.73135321,2.17541,0.34024,1.97254,3.03088859,3.02759892,0.09144411,1,1,1,0.00384496,0,0.29444501,7.09E-15,2.79E-18,2.41E-19
NFKBID,0.18206,-1.14422,0.26912,-0.6352165,-0.1598497,1.23385,-0.38667,2.69183,4.02072803,4.51228234,0.39961747,0.07059777,0.17177159,0.25731208,0.7568123,6.21E-10,0.01787676,0,2.17E-66,8.25E-100
NUPR1,-0.46981,-0.78374,-0.4795,-1.6528962,-2.0803825,2.58877,1.12338,-0.1969,-0.8581803,-1.3081856,1,0.14909723,1,1,1,1.80E-08,1.76E-08,0.65278084,0.10838325,1
CMPK2,-0.11734,-0.58877,-0.24624,5.793212,5.16200229,4.48857,-0.53268,1.81742,6.25688936,1.13200717,1,0.45751495,1,3.29E-67,6.77E-46,3.65E-123,0.19400926,0,4.02E-93,1
BATF2,-0.42248,-0.19285,-0.13539,3.91180117,4.90593315,4.09742,0.79178,-0.27113,4.97612381,0.540793,0.22897497,1,0.76501011,2.20E-27,2.75E-44,2.25E-136,0.0053458,0,9.24E-37,1
CH25H,-0.24245,0.64964,0.13993,5.06640667,4.29474765,6.5685,0,-0.22262,1.76133285,1.73644487,1,1,1,7.22E-22,1.55E-12,0,1,0,1,1
IL8,-0.43735,1.39978,-0.20228,1.49418395,2.7276782,4.19457,2.37995,6.53875,4.85354779,4.66073745,1,0.005174,1,0.01916639,3.11E-07,7.23E-196,2.24E-234,0,0,0
ATF3,-0.23608,0.88252,0.26737,3.15289352,2.91885101,4.87972,2.73197,2.42146,3.51226306,3.83510265,1,0.1322629,1,1.75E-35,2.74E-31,1.03E-278,6.39E-59,0,0,0
PPP1R15A,-0.07363,-0.02849,1.19873,2.65126327,2.15624165,3.84093,1.9833,3.12247,4.85938923,4.76389399,0.70984962,0.97000851,1.39E-20,1.24E-14,8.72E-10,6.09E-300,1.15E-57,0,0,0
ARRDC3,0.36222,0.90256,0.01798,0.9669903,1.53095445,3.80373,0.98564,3.43234,3.80411675,3.88660357,0.09000656,0.01865165,0.93265952,0.21813663,0.0353285,2.78E-160,1,2.33E-176,1,1
FOSB,-0.24465,0.59513,0.75049,1.88227896,4.81422104,3.03512,1.11851,3.73129,4.58302977,4.72128494,0.5128431,1,0.00830237,1,1,6.14E-60,0.00121367,1.36E-38,6.43E-74,1.58E-98
SAMD9L,0.71033,-0.52228,-0.6068,4.59541769,4.23516279,3.41177,1.5487,1.13448,3.60022769,-0.1742482,1,1,1,9.08E-30,1.17E-39,2.63E-117,1.06E-15,0,1,0.53590512
APOL6,0.00291,-0.33475,-0.65352,3.65818879,3.87753909,3.14341,1.37938,0.53084,2.11922433,-0.9719268,0.99168041,0.59184672,1.81E-08,4.39E-54,2.40E-67,4.69E-125,1.40E-20,0.11930058,1.55E-36,8.42E-07
TNFSF10,0.0371,-0.18581,-0.31426,4.98696994,3.77263096,2.96364,-0.02485,-0.17953,4.56567594,-0.2234445,1,1,1,2.02E-32,3.32E-21,1.21E-109,1,0,1,1
PPM1K,-0.04169,-0.21169,-0.17198,3.52640376,3.86476593,2.10181,1.53392,0.91524,3.21674944,0.62641212,0.90096267,1,0.36490623,5.22E-22,1.30E-27,1.78E-25,5.62E-10,0,1.44E-58,0.07575957
PARP10,-0.23801,-0.2843,-0.42451,3.92847058,4.1061349,2.05719,0.12857,0.70402,4.22316769,0.33602616,0.08276368,0.76089137,0.00016559,4.49E-16,1.18E-22,7.32E-50,0.65799663,0.19679882,1.23E-63,0.47679826
UBA7,-0.25633,-0.25776,-0.51454,4.50970192,3.45585595,1.75325,-0.03556,-0.38273,4.55656943,0.00738542,0.01993564,1,6.99E-05,9.50E-24,6.11E-12,1.37E-20,0.9393675,0,1,1
SP140L,0.14568,0.02889,-0.11804,3.1632146,3.38183606,1.88597,0.32407,-0.28749,1.53947542,-1.2231915,0.17047433,0.97913903,0.32603257,5.41E-31,6.98E-38,4.82E-47,0.12284215,0.4363312,3.06E-11,2.00E-05
PLEKHA4,-0.21589,-0.06113,0.18772,3.27567345,3.40617181,1.41245,0.29424,-0.17239,4.82454854,1.71358278,0.06595144,1,0.00798998,7.53E-08,6.41E-08,1.08E-23,0.46423061,0,1.02E-33,1
HCAR2,0.24482,0.05121,1.05121,3.94876975,4.8043326,-0.08916,0.53483,-0.8355,0.5202044,-1.6404306,1,1,1,9.67E-12,9.81E-17,0,1,0,0.23970285,1
ZBTB32,-0.0695,0.02781,0.61938,2.28312998,4.69672295,0.7449,0,-0.04114,-0.3336293,-0.6871977,1,1,1,1,1.16E-15,0,1,0,1,1
